top - 01:46:18 up 8 min,  3 users,  load average: 0.92, 1.65, 0.92
Tasks: 334 total,   3 running, 331 sleeping,   0 stopped,   0 zombie
%Cpu(s): 50.0 us, 25.0 sy,  0.0 ni, 25.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   4050.4 total,    429.8 free,   3482.9 used,    325.0 buff/cache     
MiB Swap:    512.0 total,    400.5 free,    111.5 used.    567.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  10020 fcurrie   20   0    2416   1056   1056 S   0.0   0.0   0:00.00 sh
  10021 fcurrie   20   0  264528  34256  10192 S   0.0   0.8   0:00.32 pio
  10069 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.26 python
  10081 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
  10082 fcurrie   20   0  264528  34784  10208 S   0.0   0.8   0:00.31 pio
  10130 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.24 python
  10142 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
  10143 fcurrie   20   0  264528  34784  10208 S   0.0   0.8   0:00.31 pio
  10191 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.26 python
  10203 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
  10204 fcurrie   20   0  264528  35280  10704 S   0.0   0.9   0:00.30 pio
  10252 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.27 python
  10264 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
  10265 fcurrie   20   0  264528  34784  10208 S   0.0   0.8   0:00.32 pio
  10313 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.26 python
  10325 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
  10378 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.27 python
  10395 fcurrie   20   0    2416   1056   1056 S   0.0   0.0   0:00.00 sh
  10396 fcurrie   20   0  264528  34320  10256 S   0.0   0.8   0:00.35 pio
  10431 lightdm   20   0   20160  10064   8016 S   0.0   0.2   0:00.09 systemd
  10432 lightdm   20   0  171200   5232   1568 S   0.0   0.1   0:00.00 (sd-pam)
  10460 fcurrie   20   0   50688  39376   9680 S   0.0   0.9   0:00.32 python
  10462 lightdm    9 -11  111552  11936   7840 S   0.0   0.3   0:00.02 pipewire
  10463 lightdm   20   0   87744   4736   4224 S   0.0   0.1   0:00.00 pipewire
  10464 lightdm    9 -11  573104  26096  18928 S   0.0   0.6   0:00.10 wireplu+
  10466 lightdm    9 -11  102672   8912   6864 S   0.0   0.2   0:00.00 pipewir+
  10467 lightdm   20   0    8496   3744   3232 S   0.0   0.1   0:00.00 dbus-da+
  10513 fcurrie   20   0    2416   1056   1056 S   0.0   0.0   0:00.00 sh
  10514 fcurrie   20   0  264528  35296  10720 S   0.0   0.9   0:00.31 pio
  10562 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.24 python
  10574 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
  10575 fcurrie   20   0  264528  34256  10192 S   0.0   0.8   0:00.31 pio
  10623 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.25 python
  10635 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
  10636 fcurrie   20   0  264528  34768  10192 S   0.0   0.8   0:00.30 pio
  10684 fcurrie   20   0   50688  39872   9664 S   0.0   1.0   0:00.26 python
  10696 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
  10697 fcurrie   20   0  264528  34704  10128 S   0.0   0.8   0:00.31 pio
  10745 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.26 python
  10757 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
  10758 fcurrie   20   0  264528  34784  10208 S   0.0   0.8   0:00.30 pio
  10806 fcurrie   20   0   50688  39792   9584 S   0.0   1.0   0:00.24 python
  10818 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
  10819 fcurrie   20   0  264528  34784  10208 S   0.0   0.8   0:00.31 pio
  10867 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.26 python
  10879 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
  10880 fcurrie   20   0  264528  35280  10704 S   0.0   0.9   0:00.30 pio
  10928 fcurrie   20   0   50688  39376   9680 S   0.0   0.9   0:00.28 python
  10940 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
  10941 fcurrie   20   0  264528  34240  10176 S   0.0   0.8   0:00.33 pio
  10990 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.26 python
  11002 fcurrie   20   0    2416   1056   1056 S   0.0   0.0   0:00.00 sh
  11003 fcurrie   20   0  264528  34720  10144 S   0.0   0.8   0:00.31 pio
  11051 fcurrie   20   0   50688  39376   9680 S   0.0   0.9   0:00.27 python
  11063 fcurrie   20   0    2416   1056   1056 S   0.0   0.0   0:00.00 sh
  11064 fcurrie   20   0  264528  34240  10176 S   0.0   0.8   0:00.38 pio
  11112 fcurrie   20   0   50688  39872   9664 S   0.0   1.0   0:00.26 python
  11124 fcurrie   20   0    2416   1072   1072 S   0.0   0.0   0:00.00 sh
  11125 fcurrie   20   0  264528  34784  10720 S   0.0   0.8   0:00.31 pio
  11173 fcurrie   20   0   50688  39888   9680 S   0.0   1.0   0:00.28 python
  11185 fcurrie   20   0    2416   1056   1056 S   0.0   0.0   0:00.00 sh
